epoch,avg_reward
1,0.0
2,0.08055555555555556
3,0.18033333333333332
4,0.186
5,0.18622222222222223
6,0.2681111111111111
7,0.17722222222222223
8,0.09888888888888889
9,0.26666666666666666
10,0.45466666666666666
11,0.29355555555555557
12,0.6264444444444444
13,0.4793333333333333
14,0.46244444444444444
15,0.5691111111111111
16,0.4576666666666666
17,0.550111111111111
18,0.8253333333333333
19,0.8008888888888889
20,0.9116666666666667
21,0.8403333333333334
22,0.9042222222222221
23,0.9355555555555556
24,0.9158888888888889
25,0.9465555555555556
26,0.8432222222222222
27,0.8438888888888888
28,0.944888888888889
29,0.946
30,0.9372222222222222
31,0.9437777777777777
32,0.9512222222222222
33,0.9397777777777778
34,0.9345555555555556
35,0.9498888888888889
36,0.9406666666666667
37,0.8596666666666668
38,0.9493333333333334
39,0.9511111111111109
40,0.9410000000000001
