epoch,avg_reward
1,0.09455555555555556
2,0.09388888888888888
3,0.2731111111111111
4,0.37633333333333335
5,0.366
6,0.19044444444444447
7,0.092
8,0.09733333333333334
9,0.0
10,0.08177777777777777
11,0.2891111111111111
12,0.18766666666666668
13,0.35377777777777775
14,0.09988888888888889
15,0.36433333333333334
16,0.19255555555555554
17,0.08522222222222223
18,0.2931111111111111
19,0.1798888888888889
20,0.37344444444444447
21,0.48266666666666663
22,0.196
23,0.343
24,0.5627777777777778
25,0.37266666666666665
26,0.462
27,0.19322222222222224
28,0.5536666666666668
29,0.714
30,0.3416666666666667
31,0.7316666666666667
32,0.8261111111111111
33,0.7423333333333333
34,0.9224444444444444
35,0.8051111111111112
36,0.7451111111111112
37,0.8466666666666667
38,0.8400000000000001
39,0.774888888888889
40,0.8156666666666667
41,0.7248888888888889
42,0.638888888888889
43,0.9259999999999999
44,0.9326666666666668
45,0.9042222222222221
46,0.9219999999999999
47,0.845111111111111
48,0.9304444444444444
49,0.9143333333333334
50,0.9276666666666665
51,0.9232222222222223
52,0.8435555555555556
53,0.9613333333333334
54,0.9436666666666665
55,0.9307777777777778
56,0.9331111111111111
57,0.8241111111111111
58,0.6617777777777778
59,0.937111111111111
60,0.9235555555555555
61,0.9214444444444444
62,0.7296666666666666
63,0.8318888888888889
64,0.9392222222222222
65,0.9378888888888888
66,0.844888888888889
67,0.9039999999999999
68,0.938
69,0.947111111111111
70,0.9122222222222224
71,0.836111111111111
72,0.8294444444444444
73,0.8523333333333334
74,0.9253333333333333
75,0.9133333333333333
76,0.9365555555555556
77,0.8364444444444444
78,0.929
79,0.9516666666666668
80,0.8583333333333334
81,0.9321111111111111
82,0.9397777777777778
83,0.939111111111111
84,0.8318888888888889
85,0.8362222222222222
86,0.936888888888889
87,0.9303333333333332
88,0.9322222222222223
89,0.9191111111111112
90,0.9226666666666666
91,0.9516666666666665
92,0.9161111111111111
93,0.9428888888888889
94,0.9328888888888889
95,0.9565555555555555
96,0.9384444444444444
97,0.9276666666666668
98,0.8435555555555556
99,0.9044444444444444
100,0.9176666666666667
101,0.9161111111111111
102,0.9224444444444446
103,0.9446666666666668
104,0.9351111111111111
105,0.825
106,0.9168888888888889
107,0.8273333333333334
108,0.9375555555555554
109,0.8407777777777777
110,0.9287777777777777
111,0.9426666666666668
112,0.9195555555555555
113,0.9224444444444444
114,0.9399999999999998
115,0.9394444444444444
116,0.9158888888888889
117,0.934888888888889
118,0.9236666666666666
119,0.8266666666666665
120,0.9343333333333333
121,0.9331111111111111
122,0.9165555555555555
123,0.8130000000000001
124,0.929888888888889
125,0.9363333333333331
126,0.9197777777777777
127,0.844
128,0.8347777777777777
129,0.9404444444444444
130,0.8637777777777778
131,0.9367777777777778
132,0.9295555555555556
133,0.9253333333333333
134,0.9454444444444444
135,0.9482222222222221
136,0.8507777777777777
137,0.9382222222222223
138,0.939111111111111
139,0.9353333333333333
140,0.9221111111111112
141,0.9407777777777776
142,0.9206666666666667
143,0.947111111111111
144,0.9603333333333334
145,0.9327777777777777
146,0.9338888888888889
147,0.8892222222222221
148,0.9398888888888891
149,0.9057777777777776
150,0.9408888888888889
